transaction_id,customer_id,amount,customer_tenure_months,previous_successes,previous_failures,days_since_last_payment,checkout_duration_minutes,checkout_started,checkout_completed,subscription_active,days_overdue,previous_recovery_success,failure_reason,recovered
TXN_100036,CUST_1036,15439.3,32,10,4,69,1.91,1,1,0,21,0,authentication_failure,1
TXN_100037,CUST_1037,5154.3,56,4,2,37,6.16,1,1,0,29,0,expired_card,0
TXN_100038,CUST_1038,34306.38,11,14,3,1,17.7,1,1,1,29,1,none,1
TXN_100039,CUST_1039,22175.58,20,8,3,85,3.37,1,1,1,59,0,insufficient_funds,0
TXN_100040,CUST_1040,6365.3,24,11,3,83,14.36,1,1,1,15,0,bank_declined,0
TXN_100041,CUST_1041,24910.29,15,14,4,88,19.48,1,1,0,10,0,none,1
TXN_100042,CUST_1042,2009.11,48,14,3,78,15.92,1,1,1,21,0,network_error,1
TXN_100043,CUST_1043,45493.22,7,3,0,71,5.24,1,0,0,28,0,temporary_failure,1
TXN_100044,CUST_1044,13161.37,21,12,3,36,18.21,1,1,0,24,0,expired_card,0
TXN_100045,CUST_1045,33227.36,42,10,2,48,2.32,1,0,0,57,0,none,1
TXN_100046,CUST_1046,15792.04,26,8,5,51,9.63,1,0,0,13,0,none,1
TXN_100047,CUST_1047,26147.38,44,10,2,32,17.81,1,1,0,13,1,none,1
TXN_100048,CUST_1048,27471.5,56,9,5,21,13.0,0,1,0,1,0,insufficient_funds,0
TXN_100049,CUST_1049,9487.27,14,2,2,4,8.57,1,0,1,53,0,none,0
TXN_100050,CUST_1050,48488.36,57,7,4,17,6.21,1,1,1,12,1,authentication_failure,0
TXN_100051,CUST_1051,38824.1,37,11,2,37,7.81,1,1,1,2,1,none,1
TXN_100052,CUST_1052,46993.1,58,0,4,36,10.42,1,1,1,29,1,bank_declined,0
TXN_100053,CUST_1053,44772.92,21,10,4,63,6.72,1,1,1,17,1,temporary_failure,1
TXN_100054,CUST_1054,30015.63,18,8,3,9,19.39,1,1,0,53,0,authentication_failure,1
TXN_100055,CUST_1055,46117.15,5,8,0,78,18.7,1,1,0,35,1,insufficient_funds,1
TXN_100056,CUST_1056,4698.08,3,9,5,41,17.48,1,1,1,20,0,expired_card,1
TXN_100057,CUST_1057,10040.35,23,1,3,47,8.73,1,1,0,52,0,none,1
TXN_100058,CUST_1058,2547.8,26,3,3,43,13.98,1,0,1,18,1,expired_card,0
TXN_100059,CUST_1059,16468.92,37,12,4,81,18.11,1,1,1,15,0,none,0
TXN_100060,CUST_1060,19617.26,24,7,4,86,17.08,1,0,1,27,1,authentication_failure,0
TXN_100061,CUST_1061,13786.05,49,6,5,15,8.58,1,1,1,3,1,none,1
TXN_100062,CUST_1062,41488.25,19,0,2,53,2.69,1,0,1,50,0,none,0
TXN_100063,CUST_1063,18030.64,51,4,2,34,1.97,1,1,0,54,1,expired_card,0
TXN_100064,CUST_1064,14262.45,25,6,3,27,11.75,1,1,1,14,0,authentication_failure,1
TXN_100065,CUST_1065,27272.0,21,14,1,1,13.03,1,0,0,0,0,network_error,1
TXN_100066,CUST_1066,7303.93,12,3,1,12,17.07,1,1,1,47,1,expired_card,0
TXN_100067,CUST_1067,40169.19,57,14,2,40,6.2,1,0,1,46,0,insufficient_funds,1
TXN_100068,CUST_1068,4005.17,41,14,1,79,3.77,1,1,0,15,1,none,1
TXN_100069,CUST_1069,49348.28,33,0,2,58,7.89,1,1,1,53,0,none,0
TXN_100070,CUST_1070,38680.57,50,8,4,68,7.39,1,0,0,19,0,authentication_failure,1
TXN_100071,CUST_1071,10176.17,53,13,3,52,3.08,1,1,0,32,1,expired_card,1
TXN_100072,CUST_1072,574.45,4,4,0,44,13.61,1,0,1,16,0,none,1
TXN_100073,CUST_1073,40828.43,42,10,3,19,10.42,1,1,0,4,0,expired_card,0
TXN_100074,CUST_1074,35430.81,57,1,2,23,14.56,1,1,0,4,0,network_error,1
TXN_100075,CUST_1075,36531.66,7,7,2,60,7.38,1,0,0,57,1,none,1
TXN_100076,CUST_1076,38632.14,22,10,3,57,6.85,1,1,1,38,0,bank_declined,1
TXN_100077,CUST_1077,3980.02,55,12,5,26,9.72,1,1,0,12,1,temporary_failure,1
TXN_100078,CUST_1078,18115.75,33,1,2,25,17.61,1,1,0,43,0,none,1
TXN_100079,CUST_1079,6058.69,17,2,1,6,1.29,1,0,1,35,1,expired_card,0
TXN_100080,CUST_1080,43196.24,24,13,1,41,16.19,1,1,0,29,1,none,1
TXN_100081,CUST_1081,31277.92,34,9,2,46,7.7,1,0,0,56,0,temporary_failure,1
TXN_100082,CUST_1082,16745.63,28,0,2,52,17.17,1,1,1,3,0,temporary_failure,0
TXN_100083,CUST_1083,3458.85,58,10,5,58,16.14,1,0,1,22,1,none,0
TXN_100084,CUST_1084,15755.82,43,1,1,37,7.3,1,1,1,20,1,temporary_failure,0
TXN_100085,CUST_1085,16461.61,41,13,2,68,14.03,1,0,0,20,0,none,1
TXN_100086,CUST_1086,36561.43,39,6,2,86,3.61,1,1,1,5,1,none,1
TXN_100087,CUST_1087,31986.61,22,9,5,52,17.98,0,1,1,23,1,expired_card,0
TXN_100088,CUST_1088,44394.47,49,1,5,14,8.39,1,1,0,46,1,temporary_failure,1
TXN_100089,CUST_1089,23769.08,17,5,3,25,9.38,1,1,0,52,1,expired_card,0
TXN_100090,CUST_1090,6243.83,34,14,5,47,14.26,1,1,1,30,0,none,0
TXN_100091,CUST_1091,35748.27,6,2,0,18,16.51,1,1,1,18,1,bank_declined,0
TXN_100092,CUST_1092,38111.02,46,3,1,8,5.11,0,1,1,37,0,bank_declined,1
TXN_100093,CUST_1093,28195.48,6,10,3,63,13.4,0,1,1,11,0,bank_declined,1
TXN_100094,CUST_1094,38617.07,34,14,0,53,8.14,1,1,1,13,0,temporary_failure,1
TXN_100095,CUST_1095,24841.64,1,12,2,50,7.69,1,1,1,49,0,none,0
TXN_100096,CUST_1096,26279.82,10,7,2,38,13.96,1,0,0,59,0,none,1
TXN_100097,CUST_1097,21548.79,21,13,3,3,8.05,1,1,0,11,0,none,1
TXN_100098,CUST_1098,1563.33,5,2,5,2,7.25,1,0,1,55,0,network_error,0
TXN_100099,CUST_1099,5662.2,2,9,2,63,16.8,1,1,1,55,1,none,1
TXN_100100,CUST_1100,1862.03,22,5,4,28,2.47,1,1,1,14,0,insufficient_funds,0
TXN_100101,CUST_1101,31929.6,48,0,3,10,13.68,1,1,1,18,0,expired_card,0
TXN_100102,CUST_1102,15923.49,57,6,0,57,5.35,1,0,1,27,0,network_error,1
TXN_100103,CUST_1103,25575.96,2,7,3,74,0.8,1,0,0,39,0,none,0
TXN_100104,CUST_1104,45406.05,10,10,1,26,3.75,1,1,1,40,0,none,1
TXN_100105,CUST_1105,12689.82,34,13,5,20,12.33,1,1,0,4,0,none,1
TXN_100106,CUST_1106,20696.03,16,7,5,38,14.33,1,1,0,4,1,none,1
TXN_100107,CUST_1107,37850.89,48,2,3,45,0.91,0,1,0,5,1,none,0
TXN_100108,CUST_1108,11671.27,51,13,2,65,1.21,1,1,1,22,1,temporary_failure,1
TXN_100109,CUST_1109,4125.9,39,9,2,35,18.1,1,0,1,2,0,none,0
TXN_100110,CUST_1110,14700.65,22,0,4,74,1.93,1,1,0,36,0,network_error,0
TXN_100111,CUST_1111,8312.7,12,8,4,81,17.94,1,0,0,32,0,bank_declined,0
TXN_100112,CUST_1112,46505.97,24,12,5,64,4.95,1,1,1,42,1,temporary_failure,1
TXN_100113,CUST_1113,40463.58,47,5,4,62,14.93,1,0,1,57,0,expired_card,0
TXN_100114,CUST_1114,31780.17,40,10,0,34,6.54,1,1,1,20,0,bank_declined,1
TXN_100115,CUST_1115,43611.59,38,8,4,30,17.25,1,0,1,19,0,authentication_failure,0
TXN_100116,CUST_1116,40242.5,59,6,0,27,14.16,1,1,1,0,0,expired_card,1
TXN_100117,CUST_1117,9572.53,10,0,4,0,8.34,1,0,0,38,1,none,0
TXN_100118,CUST_1118,44660.18,35,11,5,24,1.99,1,1,0,46,1,none,0
TXN_100119,CUST_1119,27105.31,51,11,5,42,14.79,1,1,0,16,1,authentication_failure,1
TXN_100120,CUST_1120,40429.78,49,0,0,83,12.53,1,0,1,28,0,bank_declined,0
TXN_100121,CUST_1121,44835.74,32,5,3,66,0.56,1,1,0,7,1,insufficient_funds,1
TXN_100122,CUST_1122,16104.77,7,4,5,62,0.68,0,1,1,25,1,bank_declined,0
TXN_100123,CUST_1123,5769.58,21,8,3,50,16.27,1,0,0,27,1,temporary_failure,0
TXN_100124,CUST_1124,11628.38,20,1,2,1,5.56,1,0,1,33,0,none,0
TXN_100125,CUST_1125,21527.26,26,7,0,81,12.9,1,1,0,25,0,network_error,1
TXN_100126,CUST_1126,40955.33,4,10,5,63,9.36,0,0,0,12,1,temporary_failure,0
TXN_100127,CUST_1127,43078.31,46,4,1,73,17.34,1,0,0,43,0,bank_declined,1
TXN_100128,CUST_1128,645.52,52,1,2,68,18.38,1,0,1,36,1,network_error,1
TXN_100129,CUST_1129,25684.14,22,12,3,8,19.94,1,1,0,12,1,network_error,1
TXN_100130,CUST_1130,21045.33,15,9,5,1,3.5,1,1,1,37,0,temporary_failure,1
TXN_100131,CUST_1131,11338.76,56,10,0,33,17.33,1,0,1,24,0,none,1
TXN_100132,CUST_1132,6257.31,40,10,4,59,5.69,1,1,1,46,0,insufficient_funds,0
TXN_100133,CUST_1133,17079.47,21,11,1,60,12.02,1,1,1,22,1,temporary_failure,1
TXN_100134,CUST_1134,47162.61,15,5,3,30,10.36,1,0,1,21,1,temporary_failure,1
TXN_100135,CUST_1135,16363.19,22,9,2,9,0.85,1,0,0,20,0,network_error,1
TXN_100136,CUST_1136,26083.89,52,7,0,75,18.69,1,1,0,53,0,temporary_failure,0
TXN_100137,CUST_1137,35240.04,28,3,1,35,2.03,1,1,1,29,0,temporary_failure,0
TXN_100138,CUST_1138,18372.39,14,1,0,84,13.92,1,0,0,10,1,bank_declined,0
TXN_100139,CUST_1139,48597.57,27,11,5,48,15.81,1,1,1,3,0,network_error,1
TXN_100140,CUST_1140,48133.63,41,10,4,69,16.01,1,1,0,32,0,temporary_failure,1
TXN_100141,CUST_1141,12813.58,40,4,2,48,3.14,1,0,1,46,1,bank_declined,1
TXN_100142,CUST_1142,25013.25,58,14,0,2,9.23,1,1,0,11,0,bank_declined,1
TXN_100143,CUST_1143,15253.65,28,11,3,73,16.67,1,1,1,8,0,temporary_failure,1
TXN_100144,CUST_1144,14456.57,26,1,5,4,6.4,1,1,1,31,0,authentication_failure,0
TXN_100145,CUST_1145,2133.28,49,1,5,89,9.62,1,1,0,10,0,temporary_failure,0
TXN_100146,CUST_1146,30595.35,2,14,2,60,5.82,1,0,0,36,0,temporary_failure,1
TXN_100147,CUST_1147,25283.15,25,5,5,84,9.54,1,1,0,23,1,authentication_failure,0
TXN_100148,CUST_1148,2858.49,56,10,3,89,17.81,1,1,1,6,1,insufficient_funds,0
TXN_100149,CUST_1149,14148.73,3,9,0,25,9.37,1,1,0,7,1,temporary_failure,1
TXN_100150,CUST_1150,45440.81,8,8,2,71,11.34,1,0,0,32,1,bank_declined,0
TXN_100151,CUST_1151,12206.23,44,12,5,4,8.38,1,1,1,24,0,none,1
TXN_100152,CUST_1152,7501.28,33,3,5,14,9.47,1,0,0,0,0,expired_card,1
TXN_100153,CUST_1153,24625.8,42,5,3,15,0.8,1,0,0,2,0,none,0
TXN_100154,CUST_1154,49286.83,52,6,4,0,6.03,1,0,0,39,1,none,0
TXN_100155,CUST_1155,12330.15,35,12,4,15,9.01,1,1,1,27,1,none,1
TXN_100156,CUST_1156,33705.14,6,10,5,36,12.86,1,0,1,42,0,none,1
TXN_100157,CUST_1157,38152.49,39,5,0,2,9.28,1,1,0,32,0,network_error,1
TXN_100158,CUST_1158,12110.59,52,7,2,51,7.09,1,0,1,45,0,bank_declined,0
TXN_100159,CUST_1159,36492.35,23,3,5,46,8.07,1,0,0,0,0,insufficient_funds,0
TXN_100160,CUST_1160,18578.82,25,11,1,12,5.22,1,0,0,37,1,expired_card,1
TXN_100161,CUST_1161,31725.6,59,14,2,79,18.53,1,0,1,52,0,none,1
TXN_100162,CUST_1162,31786.43,50,0,4,54,10.67,1,1,0,26,1,authentication_failure,0
TXN_100163,CUST_1163,26928.0,43,6,5,20,0.76,1,1,1,37,0,expired_card,1
TXN_100164,CUST_1164,4787.4,19,2,3,65,0.88,1,1,1,34,1,authentication_failure,1
TXN_100165,CUST_1165,41814.53,5,13,1,53,19.47,1,1,1,9,1,bank_declined,1
TXN_100166,CUST_1166,16242.77,51,5,5,26,4.82,1,1,0,11,1,bank_declined,0
TXN_100167,CUST_1167,9569.97,11,1,0,37,16.21,1,1,0,9,0,authentication_failure,0
TXN_100168,CUST_1168,2326.52,56,8,1,89,1.64,1,0,1,53,0,bank_declined,0
TXN_100169,CUST_1169,29667.38,12,0,5,57,18.46,1,1,0,33,0,none,0
TXN_100170,CUST_1170,33974.95,10,5,0,61,17.55,0,1,1,23,0,none,0
TXN_100171,CUST_1171,1124.42,8,5,1,45,11.64,1,0,0,27,1,none,1
TXN_100172,CUST_1172,25751.02,24,4,0,88,0.68,1,0,0,21,1,insufficient_funds,0
TXN_100173,CUST_1173,11556.84,28,12,0,10,5.53,1,0,0,44,0,none,1
TXN_100174,CUST_1174,32365.09,41,4,1,71,8.43,1,1,1,15,0,bank_declined,1
TXN_100175,CUST_1175,8966.01,36,0,1,7,9.47,1,1,1,12,0,bank_declined,1
TXN_100176,CUST_1176,34639.61,37,9,0,70,6.3,1,1,0,35,1,expired_card,0
TXN_100177,CUST_1177,19520.75,21,11,4,63,1.14,1,1,1,35,1,bank_declined,0
TXN_100178,CUST_1178,46855.48,8,4,1,20,12.01,1,1,0,42,0,temporary_failure,0
TXN_100179,CUST_1179,7134.79,55,1,5,71,10.72,1,1,0,22,0,bank_declined,0
TXN_100180,CUST_1180,17251.0,9,6,2,62,6.02,1,0,1,13,1,expired_card,0
TXN_100181,CUST_1181,5939.63,47,2,3,84,1.24,0,1,1,31,1,bank_declined,1
TXN_100182,CUST_1182,46257.27,15,12,0,63,19.89,1,1,0,2,0,network_error,1
TXN_100183,CUST_1183,43903.77,48,14,0,19,9.9,0,1,0,26,1,expired_card,1
TXN_100184,CUST_1184,13119.7,46,3,3,7,15.24,1,1,1,18,1,none,1
TXN_100185,CUST_1185,33101.21,40,2,4,57,9.32,1,1,1,21,0,none,1
TXN_100186,CUST_1186,40915.94,18,2,3,45,1.34,1,0,1,56,0,bank_declined,0
TXN_100187,CUST_1187,27893.48,42,3,1,30,6.54,1,1,0,0,0,temporary_failure,0
TXN_100188,CUST_1188,26623.63,20,4,3,8,6.74,1,1,1,4,0,bank_declined,1
TXN_100189,CUST_1189,12320.06,6,0,0,14,16.85,1,1,0,48,0,bank_declined,1
TXN_100190,CUST_1190,4927.21,12,3,3,25,13.26,1,0,1,32,0,expired_card,0
TXN_100191,CUST_1191,44891.62,2,11,2,9,5.87,1,0,0,50,0,temporary_failure,1
TXN_100192,CUST_1192,45050.78,7,11,5,28,19.37,1,1,0,18,0,bank_declined,0
TXN_100193,CUST_1193,31765.14,16,10,1,79,6.77,1,0,0,35,0,none,1
TXN_100194,CUST_1194,17149.78,3,7,3,35,19.97,1,0,1,50,0,expired_card,0
TXN_100195,CUST_1195,17655.72,45,9,0,83,19.93,1,1,1,5,1,none,1
TXN_100196,CUST_1196,36380.0,3,6,5,36,4.23,1,1,0,59,1,none,1
TXN_100197,CUST_1197,44886.38,27,8,1,85,6.6,1,0,1,14,0,none,1
TXN_100198,CUST_1198,44388.2,50,4,0,70,9.98,1,1,1,35,0,expired_card,1
TXN_100199,CUST_1199,39059.81,43,12,4,22,13.45,1,1,0,55,1,bank_declined,1
TXN_100200,CUST_1200,32208.97,40,14,2,40,10.8,1,0,1,32,0,none,1
TXN_100201,CUST_1201,4481.76,38,9,4,79,19.4,1,1,1,23,1,network_error,1
TXN_100202,CUST_1202,8332.95,33,3,2,27,14.62,1,1,0,26,0,insufficient_funds,1
TXN_100203,CUST_1203,44958.14,28,7,3,47,4.63,1,1,0,48,1,insufficient_funds,1
TXN_100204,CUST_1204,30439.52,1,8,1,37,2.55,1,1,0,10,0,expired_card,0
TXN_100205,CUST_1205,757.09,55,12,3,30,13.92,1,1,0,48,1,none,1
TXN_100206,CUST_1206,5343.14,8,6,2,13,3.59,0,1,1,22,1,temporary_failure,1
TXN_100207,CUST_1207,33276.04,37,13,2,72,15.86,1,0,1,32,1,temporary_failure,1
TXN_100208,CUST_1208,551.56,32,6,2,87,6.57,1,1,1,40,1,none,0
TXN_100209,CUST_1209,8292.16,48,4,5,76,6.87,1,1,0,45,0,none,0
TXN_100210,CUST_1210,27572.07,43,3,0,89,0.71,1,1,1,46,0,insufficient_funds,0
TXN_100211,CUST_1211,34687.19,37,13,1,28,14.17,1,1,1,55,0,bank_declined,0
TXN_100212,CUST_1212,32702.47,4,9,3,50,2.71,1,0,1,28,0,expired_card,0
TXN_100213,CUST_1213,11446.18,30,0,3,48,15.57,1,1,0,30,0,bank_declined,1
TXN_100214,CUST_1214,35695.31,6,9,4,42,10.09,1,1,1,0,1,none,1
TXN_100215,CUST_1215,12091.28,46,9,2,71,15.79,1,1,1,33,1,temporary_failure,1
TXN_100216,CUST_1216,16472.36,54,6,2,86,11.89,1,0,1,17,0,temporary_failure,0
TXN_100217,CUST_1217,37400.62,19,0,2,4,2.11,1,1,0,17,0,insufficient_funds,0
TXN_100218,CUST_1218,32586.76,32,0,3,41,15.43,1,1,0,5,0,insufficient_funds,0
TXN_100219,CUST_1219,42506.4,9,4,4,6,1.86,1,1,1,51,1,temporary_failure,0
TXN_100220,CUST_1220,32983.36,12,12,0,41,9.83,1,1,0,39,0,temporary_failure,1
TXN_100221,CUST_1221,28544.94,11,8,5,35,3.86,1,1,1,0,1,none,1
TXN_100222,CUST_1222,4955.64,46,5,1,26,15.17,1,1,1,46,1,temporary_failure,0
TXN_100223,CUST_1223,18575.48,55,2,0,57,18.28,1,1,0,41,1,none,1
TXN_100224,CUST_1224,13480.56,16,12,3,45,11.31,1,1,1,29,0,bank_declined,1
TXN_100225,CUST_1225,12426.29,1,2,5,65,10.78,1,1,0,3,0,expired_card,0
TXN_100226,CUST_1226,48658.62,45,6,5,24,15.4,1,1,0,31,1,insufficient_funds,1
TXN_100227,CUST_1227,19836.96,55,5,5,72,0.6,1,1,1,9,1,insufficient_funds,0
TXN_100228,CUST_1228,44634.71,53,8,2,26,18.4,1,1,1,42,1,network_error,1
TXN_100229,CUST_1229,31667.59,21,5,1,0,4.35,1,0,0,4,0,network_error,1
TXN_100230,CUST_1230,39802.12,30,4,3,86,19.69,1,1,1,8,1,none,0
TXN_100231,CUST_1231,25281.06,13,9,3,73,14.86,1,1,0,4,0,none,1
TXN_100232,CUST_1232,28972.12,34,6,5,41,15.6,1,1,1,10,1,expired_card,0
TXN_100233,CUST_1233,24778.13,4,0,3,51,13.3,1,0,1,34,1,bank_declined,0
TXN_100234,CUST_1234,10003.58,28,11,1,24,9.7,1,0,0,26,1,none,1
TXN_100235,CUST_1235,36205.87,38,6,1,53,11.65,0,0,1,3,1,network_error,1
TXN_100236,CUST_1236,14254.39,58,2,4,66,1.4,1,0,1,9,0,none,0
TXN_100237,CUST_1237,1508.5,31,13,4,5,12.67,1,1,1,38,1,none,1
TXN_100238,CUST_1238,32379.97,59,8,0,57,12.71,1,0,1,32,1,temporary_failure,1
TXN_100239,CUST_1239,9102.4,55,14,1,69,17.88,1,0,0,58,0,bank_declined,1
TXN_100240,CUST_1240,47040.79,27,5,1,52,10.36,0,0,0,37,1,network_error,1
TXN_100241,CUST_1241,47710.25,5,8,1,65,2.0,1,1,1,7,0,expired_card,1
TXN_100242,CUST_1242,45768.76,25,12,4,57,6.47,1,1,1,48,1,network_error,1
TXN_100243,CUST_1243,18696.89,3,14,5,81,13.28,1,0,1,23,0,none,1
TXN_100244,CUST_1244,1068.19,33,4,5,86,5.17,1,1,0,38,1,insufficient_funds,0
TXN_100245,CUST_1245,46437.43,4,6,3,1,5.97,1,1,0,32,0,insufficient_funds,1
TXN_100246,CUST_1246,21580.75,25,12,5,75,16.5,1,0,0,40,0,temporary_failure,1
TXN_100247,CUST_1247,48342.74,20,13,2,21,11.89,1,1,0,42,0,network_error,1
TXN_100248,CUST_1248,48191.91,34,3,4,36,10.42,1,0,1,18,0,expired_card,0
TXN_100249,CUST_1249,42694.57,26,14,1,19,6.71,1,1,1,1,1,bank_declined,1
TXN_100250,CUST_1250,14934.11,5,6,5,23,14.75,1,0,0,54,0,network_error,0
TXN_100251,CUST_1251,19439.36,35,12,4,83,6.11,1,1,1,10,1,temporary_failure,1
TXN_100252,CUST_1252,42601.49,28,0,5,64,14.87,1,0,1,34,1,temporary_failure,0
TXN_100253,CUST_1253,16051.02,29,6,0,64,1.87,1,1,0,16,1,expired_card,1
TXN_100254,CUST_1254,8723.79,9,7,1,80,17.36,1,1,1,41,1,bank_declined,0
TXN_100255,CUST_1255,27973.02,52,4,0,0,10.24,1,0,0,2,0,expired_card,1
TXN_100256,CUST_1256,46826.89,38,1,1,2,9.05,1,1,1,21,0,none,1
TXN_100257,CUST_1257,34892.68,50,4,4,45,12.41,1,1,1,34,0,none,0
TXN_100258,CUST_1258,28632.04,6,5,3,54,12.67,1,1,1,20,0,temporary_failure,0
TXN_100259,CUST_1259,5129.67,19,11,5,74,3.07,1,0,1,24,1,authentication_failure,1
TXN_100260,CUST_1260,30865.86,44,1,5,87,15.25,1,0,0,38,0,none,0
TXN_100261,CUST_1261,49505.68,57,13,2,85,5.88,1,1,1,1,1,none,1
TXN_100262,CUST_1262,7262.18,11,5,0,63,18.15,1,1,1,0,0,none,1
TXN_100263,CUST_1263,26060.98,2,5,5,44,16.45,1,1,1,6,1,insufficient_funds,0
TXN_100264,CUST_1264,43905.44,47,0,4,25,7.25,0,0,1,19,0,insufficient_funds,1
TXN_100265,CUST_1265,37116.2,44,13,3,76,16.25,1,0,1,42,0,network_error,1
TXN_100266,CUST_1266,34941.68,44,0,4,64,7.45,1,1,1,54,1,none,0
TXN_100267,CUST_1267,35213.46,9,13,0,23,2.47,1,1,0,5,0,bank_declined,1
TXN_100268,CUST_1268,18166.71,21,10,2,73,19.26,1,1,0,54,1,temporary_failure,0
TXN_100269,CUST_1269,14891.51,24,9,5,34,13.23,1,0,1,35,0,expired_card,0
TXN_100270,CUST_1270,40525.25,34,2,4,23,9.39,1,0,1,50,0,insufficient_funds,1
TXN_100271,CUST_1271,40562.64,22,13,1,27,8.26,0,0,1,59,1,temporary_failure,1
TXN_100272,CUST_1272,43393.49,3,9,3,79,6.83,0,0,0,20,0,temporary_failure,1
TXN_100273,CUST_1273,45688.06,12,9,4,15,19.64,1,0,0,50,1,bank_declined,1
TXN_100274,CUST_1274,25713.72,28,14,3,58,3.13,1,1,1,45,0,network_error,1
TXN_100275,CUST_1275,25225.36,30,11,5,80,6.64,1,1,1,34,1,bank_declined,1
TXN_100276,CUST_1276,39975.27,26,2,1,53,9.97,1,1,1,35,0,temporary_failure,1
TXN_100277,CUST_1277,32603.21,48,3,2,78,9.82,1,0,0,7,0,temporary_failure,1
TXN_100278,CUST_1278,35187.75,21,1,2,15,9.69,1,0,0,49,0,insufficient_funds,0
TXN_100279,CUST_1279,39850.9,28,8,1,14,3.93,1,1,0,3,0,expired_card,0
TXN_100280,CUST_1280,44533.27,56,9,3,10,3.33,1,1,0,42,0,temporary_failure,1
TXN_100281,CUST_1281,17098.36,26,11,5,64,5.47,1,1,1,15,1,network_error,1
TXN_100282,CUST_1282,18966.47,33,10,4,78,18.33,1,1,0,2,1,temporary_failure,1
TXN_100283,CUST_1283,4970.9,21,13,1,89,2.7,1,1,0,6,0,insufficient_funds,0
TXN_100284,CUST_1284,29040.52,35,6,0,67,15.27,1,1,0,1,0,temporary_failure,1
TXN_100285,CUST_1285,2086.33,52,6,3,42,15.27,1,0,0,0,0,temporary_failure,1
TXN_100286,CUST_1286,23440.22,34,14,2,68,16.29,1,1,1,57,0,expired_card,1
