timestamp,transaction_id,customer_id,amount,recovery_probability,diagnosis,recommended_strategy,selected_action,decision_reason,risk_level,result_status,result_message,amount_recovered,payment_link_id,payment_link_status,amount_paid,verification_status,recovery_outcome
2026-08-30T12:03:42.931448,TXN_100015,CUST_1015,9415.2,0.3604,Temporary payment failure,retry,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:42.931448,TXN_100016,CUST_1016,15420.84,0.4854,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:42.947942,TXN_100017,CUST_1017,26380.39,0.2317,Insufficient customer funds,payment_reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:42.953048,TXN_100018,CUST_1018,21767.67,0.219,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:42.956226,TXN_100019,CUST_1019,14774.09,0.1163,Authentication failure,customer_action,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:42.959386,TXN_100020,CUST_1020,30709.09,0.7077,Authentication failure,customer_action,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.959386,TXN_100021,CUST_1021,7232.84,0.4155,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.959386,TXN_100022,CUST_1022,14819.59,0.5945,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:42.971001,TXN_100023,CUST_1023,18508.18,0.8587,Temporary payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,failed,Payment retry failed in simulation mode.,0.0,,,,,
2026-08-30T12:03:42.975013,TXN_100024,CUST_1024,22966.68,0.7812,Insufficient customer funds,payment_reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.977015,TXN_100025,CUST_1025,39323.25,0.7055,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.981023,TXN_100026,CUST_1026,10223.79,0.6174,Temporary payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.985029,TXN_100027,CUST_1027,25857.45,0.6415,Network-related payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:42.990780,TXN_100028,CUST_1028,29743.0,0.2086,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:42.993787,TXN_100029,CUST_1029,2608.59,0.7074,Network-related payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,failed,Payment retry failed in simulation mode.,0.0,,,,,
2026-08-30T12:03:42.997537,TXN_100030,CUST_1030,30494.98,0.203,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:42.997537,TXN_100031,CUST_1031,8775.05,0.7549,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.002643,TXN_100032,CUST_1032,3533.06,0.521,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.002643,TXN_100033,CUST_1033,47459.61,0.4133,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.002643,TXN_100034,CUST_1034,48291.91,0.3322,Network-related payment failure,retry,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.002643,TXN_100035,CUST_1035,40477.35,0.4697,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.018618,TXN_100036,CUST_1036,15439.3,0.5313,Authentication failure,customer_action,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.018618,TXN_100037,CUST_1037,5154.3,0.3101,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.018618,TXN_100038,CUST_1038,34306.38,0.9068,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.018618,TXN_100039,CUST_1039,22175.58,0.2623,Insufficient customer funds,payment_reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.018618,TXN_100040,CUST_1040,6365.3,0.6057,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.034679,TXN_100041,CUST_1041,24910.29,0.6374,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.034679,TXN_100042,CUST_1042,2009.11,0.8839,Network-related payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,2009.11,,,,,
2026-08-30T12:03:43.034679,TXN_100043,CUST_1043,45493.22,0.5151,Temporary payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.034679,TXN_100044,CUST_1044,13161.37,0.6422,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.051976,TXN_100045,CUST_1045,33227.36,0.5744,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.051976,TXN_100046,CUST_1046,15792.04,0.3729,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.051976,TXN_100047,CUST_1047,26147.38,0.7959,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.051976,TXN_100048,CUST_1048,27471.5,0.5242,Insufficient customer funds,payment_reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.066519,TXN_100049,CUST_1049,9487.27,0.4002,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.071535,TXN_100050,CUST_1050,48488.36,0.6415,Authentication failure,customer_action,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.075548,TXN_100051,CUST_1051,38824.1,0.8168,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.079563,TXN_100052,CUST_1052,46993.1,0.2224,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.082580,TXN_100053,CUST_1053,44772.92,0.7523,Temporary payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,44772.92,,,,,
2026-08-30T12:03:43.088287,TXN_100054,CUST_1054,30015.63,0.6747,Authentication failure,customer_action,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.092547,TXN_100055,CUST_1055,46117.15,0.5443,Insufficient customer funds,payment_reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.098094,TXN_100056,CUST_1056,4698.08,0.3828,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.102111,TXN_100057,CUST_1057,10040.35,0.2058,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.106124,TXN_100058,CUST_1058,2547.8,0.2508,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.108130,TXN_100059,CUST_1059,16468.92,0.5788,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.114508,TXN_100060,CUST_1060,19617.26,0.3622,Authentication failure,customer_action,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.117662,TXN_100061,CUST_1061,13786.05,0.5472,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.117662,TXN_100062,CUST_1062,41488.25,0.1594,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.124111,TXN_100063,CUST_1063,18030.64,0.33,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.124111,TXN_100064,CUST_1064,14262.45,0.5914,Authentication failure,customer_action,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.124111,TXN_100065,CUST_1065,27272.0,0.97,Network-related payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,27272.0,,,,,
2026-08-30T12:03:43.124111,TXN_100066,CUST_1066,7303.93,0.4713,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.140518,TXN_100067,CUST_1067,40169.19,0.7101,Insufficient customer funds,payment_reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.142524,TXN_100068,CUST_1068,4005.17,0.8437,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.146543,TXN_100069,CUST_1069,49348.28,0.1717,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.150558,TXN_100070,CUST_1070,38680.57,0.3809,Authentication failure,customer_action,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.154312,TXN_100071,CUST_1071,10176.17,0.6659,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.154312,TXN_100072,CUST_1072,574.45,0.5419,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.154312,TXN_100073,CUST_1073,40828.43,0.605,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.154312,TXN_100074,CUST_1074,35430.81,0.6225,Network-related payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.154312,TXN_100075,CUST_1075,36531.66,0.4544,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.171737,TXN_100076,CUST_1076,38632.14,0.5813,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.171737,TXN_100077,CUST_1077,3980.02,0.8761,Temporary payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,3980.02,,,,,
2026-08-30T12:03:43.171737,TXN_100078,CUST_1078,18115.75,0.3314,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.171737,TXN_100079,CUST_1079,6058.69,0.3992,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.188247,TXN_100080,CUST_1080,43196.24,0.8692,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.195419,TXN_100081,CUST_1081,31277.92,0.7304,Temporary payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,31277.92,,,,,
2026-08-30T12:03:43.202224,TXN_100082,CUST_1082,16745.63,0.452,Temporary payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.202224,TXN_100083,CUST_1083,3458.85,0.5242,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.202224,TXN_100084,CUST_1084,15755.82,0.6445,Temporary payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.202224,TXN_100085,CUST_1085,16461.61,0.7166,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.202224,TXN_100086,CUST_1086,36561.43,0.4389,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.219076,TXN_100087,CUST_1087,31986.61,0.4136,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.219076,TXN_100088,CUST_1088,44394.47,0.409,Temporary payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.228335,TXN_100089,CUST_1089,23769.08,0.3546,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.228335,TXN_100090,CUST_1090,6243.83,0.7101,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.233874,TXN_100091,CUST_1091,35748.27,0.6356,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.233874,TXN_100092,CUST_1092,38111.02,0.5864,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.233874,TXN_100093,CUST_1093,28195.48,0.6506,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.233874,TXN_100094,CUST_1094,38617.07,0.9444,Temporary payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,38617.07,,,,,
2026-08-30T12:03:43.249792,TXN_100095,CUST_1095,24841.64,0.7312,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.249792,TXN_100096,CUST_1096,26279.82,0.4853,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.249792,TXN_100097,CUST_1097,21548.79,0.8637,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.249792,TXN_100098,CUST_1098,1563.33,0.476,Network-related payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.249792,TXN_100099,CUST_1099,5662.2,0.6385,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.266692,TXN_100100,CUST_1100,1862.03,0.3384,Insufficient customer funds,payment_reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.266692,TXN_100101,CUST_1101,31929.6,0.2018,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.266692,TXN_100102,CUST_1102,15923.49,0.7707,Network-related payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,15923.49,,,,,
2026-08-30T12:03:43.277565,TXN_100103,CUST_1103,25575.96,0.3115,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.285957,TXN_100104,CUST_1104,45406.05,0.7648,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.289714,TXN_100105,CUST_1105,12689.82,0.7658,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.295570,TXN_100106,CUST_1106,20696.03,0.4983,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.295570,TXN_100107,CUST_1107,37850.89,0.36,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.295570,TXN_100108,CUST_1108,11671.27,0.9031,Temporary payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,11671.27,,,,,
2026-08-30T12:03:43.307037,TXN_100109,CUST_1109,4125.9,0.7036,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.312713,TXN_100110,CUST_1110,14700.65,0.2428,Network-related payment failure,retry,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.314230,TXN_100111,CUST_1111,8312.7,0.3322,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.314230,TXN_100112,CUST_1112,46505.97,0.7443,Temporary payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,46505.97,,,,,
2026-08-30T12:03:43.323517,TXN_100113,CUST_1113,40463.58,0.1322,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.326623,TXN_100114,CUST_1114,31780.17,0.826,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.326623,TXN_100115,CUST_1115,43611.59,0.5404,Authentication failure,customer_action,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.326623,TXN_100116,CUST_1116,40242.5,0.5913,Expired payment method,payment_method_update,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.338162,TXN_100117,CUST_1117,9572.53,0.2837,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.338162,TXN_100118,CUST_1118,44660.18,0.6401,No specific payment failure,reminder,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.338162,TXN_100119,CUST_1119,27105.31,0.6876,Authentication failure,customer_action,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
2026-08-30T12:03:43.338162,TXN_100120,CUST_1120,40429.78,0.2037,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.338162,TXN_100121,CUST_1121,44835.74,0.2891,Insufficient customer funds,payment_reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.355494,TXN_100122,CUST_1122,16104.77,0.2952,Bank declined the transaction,alternative_payment,human_review,Permanent or bank-declined failure should not be automatically retried.,high,escalated,Transaction requires human review.,0.0,,,,,
2026-08-30T12:03:43.355494,TXN_100123,CUST_1123,5769.58,0.7448,Temporary payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,5769.58,,,,,
2026-08-30T12:03:43.355494,TXN_100124,CUST_1124,11628.38,0.3875,No specific payment failure,reminder,no_action,Recovery probability is below the 0.40 operating threshold.,low,stopped,Recovery stopped by decision policy.,0.0,,,,,
2026-08-30T12:03:43.355494,TXN_100125,CUST_1125,21527.26,0.772,Network-related payment failure,retry,retry_payment,High recovery probability and retryable payment failure.,low,recovered,Payment successfully recovered in simulation mode.,21527.26,,,,,
2026-08-30T12:03:43.370150,TXN_100126,CUST_1126,40955.33,0.6976,Temporary payment failure,retry,send_payment_reminder,Moderate recovery probability; assisted recovery is safer.,medium,pending,Payment recovery reminder generated.,0.0,,,,,
